00001090
Patient ID: 00000000
Studyset ID: 00000000
Plan ID: 0000
Doc: 0000
T: 0
X: 0
Z: 0
Angle: 90.00 deg.
Distance (cm) Dose(cGy)
0.00	0.00
0.20	37.33
0.40	57.25
0.60	69.49
0.80	81.79
1.00	89.13
1.20	91.72
1.40	95.58
1.60	98.14
1.80	100.09
2.00	99.52
2.20	99.80
2.40	100.61
2.60	99.64
2.80	99.50
3.00	99.21
3.20	97.91
3.40	97.44
3.60	96.93
3.80	95.26
4.00	94.93
4.20	94.11
4.40	93.74
4.60	92.62
4.80	91.17
5.00	91.41
5.20	90.46
5.40	89.47
5.60	88.82
5.80	87.87
6.00	87.39
6.20	86.54
6.40	86.01
6.60	84.97
6.80	84.48
7.00	83.63
7.20	82.55
7.40	82.18
7.60	80.98
7.80	80.56
8.00	79.79
8.20	79.74
8.40	79.08
8.60	77.79
8.80	77.49
9.00	75.92
9.20	75.88
9.40	75.05
9.60	74.63
9.80	74.13
10.00	73.28
10.20	72.36
10.40	72.20
10.60	70.72
10.80	70.80
11.00	69.95
11.20	69.16
11.40	68.27
11.60	68.02
11.80	67.38
12.00	66.81
12.20	65.87
12.40	65.78
12.60	64.97
12.80	64.43
13.00	63.59
13.20	63.18
13.40	62.47
13.60	62.33
13.80	61.82
14.00	61.70
14.20	59.94
14.40	59.88
14.60	58.97
14.80	58.79
15.00	58.94
15.20	57.76
15.40	57.09
15.60	56.46
15.80	56.53
16.00	56.00
16.20	54.88
16.40	54.19
16.60	53.90
16.80	53.25
17.00	52.75
17.20	52.45
17.40	52.14
17.60	51.38
17.80	51.01
18.00	51.17
18.20	49.75
18.40	49.36
18.60	49.20
18.80	48.69
19.00	48.25
19.20	47.43
19.40	47.18
19.60	46.70
19.80	46.20
20.00	45.15
20.20	45.24
20.40	45.04
20.60	44.84
20.80	43.97
21.00	43.60
21.20	43.39
21.40	43.33
21.60	42.88
21.80	42.11
22.00	41.74
22.20	41.25
22.40	40.55
22.60	40.44
22.80	41.23
23.00	40.37
23.20	39.40
23.40	39.02
23.60	38.69
23.80	38.30
24.00	38.16
24.20	38.00
24.40	37.28
24.60	37.30
24.80	36.65
25.00	36.13
25.20	35.86
25.40	36.03
25.60	35.34
25.80	34.97
26.00	34.49
26.20	34.17
26.40	33.64
26.60	33.61
26.80	33.17
27.00	32.67
27.20	32.67
27.40	32.43
27.60	32.60
27.80	32.21
28.00	31.51
28.20	31.47
28.40	31.40
28.60	30.82
28.80	30.64
29.00	30.04
29.20	30.06
29.40	29.96
29.60	29.42
29.80	28.83
30.00	28.70
30.20	28.79
30.40	28.41
30.60	28.36
30.80	27.80
31.00	27.58
31.20	26.90
31.40	26.86
31.60	27.07
31.80	26.38
32.00	26.00
32.20	25.83
32.40	25.52
32.60	25.71
32.80	25.18
33.00	25.03
33.20	24.73
33.40	24.69
33.60	24.20
33.80	24.07
34.00	23.74
34.20	23.66
34.40	23.56
34.60	23.07
34.80	21.39
35.00	0.00
